SA2_code,y.cervical.female,sd.cervical.female
11001,1.01,0.125
11002,1,0.04846938775510205
11003,0.99,0.1326530612244898
11004,1,0.043367346938775524
11005,1,0.13010204081632654
11006,1,0.05612244897959186
11007,1,0.06122448979591834
11008,1,0.08928571428571429
11009,1,0.07908163265306122
11010,1.01,0.07397959183673468
11011,1,0.05102040816326532
11012,1,0.08418367346938775
11013,1,0.07397959183673468
11014,1.01,0.15561224489795916
11015,1,0.05867346938775507
11016,1,0.07908163265306122
11017,1,0.09693877551020405
11018,1,0.08928571428571429
11019,1,0.09948979591836735
11020,1,0.0637755102040816
11021,1,0.09183673469387756
11022,1,0.06632653061224487
11023,1,0.10204081632653059
11024,1,0.06122448979591834
11025,1,0.09183673469387756
11026,1.01,0.09948979591836735
11027,1,0.08418367346938775
11028,1.02,0.11224489795918369
11029,1.02,0.09693877551020408
11030,1.01,0.0561224489795918
11031,1.02,0.07653061224489795
11032,1.02,0.07653061224489795
11033,1.01,0.08928571428571429
11034,1.02,0.09948979591836735
11035,1.01,0.09438775510204081
11036,1.01,0.07653061224489795
11037,1.01,0.09438775510204081
11038,1.02,0.1275510204081633
11039,1.01,0.09438775510204081
11040,1.03,0.10204081632653061
11041,1.02,0.09948979591836735
11042,1.02,0.08418367346938775
11043,1.02,0.08673469387755102
11044,1.02,0.10204081632653061
11045,1.01,0.08163265306122448
11046,1.02,0.10969387755102042
11047,1.01,0.08418367346938775
11048,0.99,0.10714285714285712
11049,1,0.06887755102040814
11050,1.03,0.09438775510204081
11051,1,0.08163265306122448
11052,1.05,0.15051020408163265
11053,1.03,0.12244897959183676
11054,1.05,0.12500000000000003
11055,1,0.10204081632653061
11056,0.99,0.08928571428571429
11057,0.99,0.09438775510204081
11058,1,0.10969387755102042
11059,1,0.10459183673469388
11060,1.01,0.0561224489795918
11061,1.01,0.07653061224489795
11062,1.01,0.05867346938775507
11063,1,0.13775510204081634
11064,1,0.05612244897959186
11065,1.01,0.0637755102040816
11066,1,0.07142857142857141
11067,1,0.08928571428571429
11068,1,0.06632653061224487
11069,1,0.05612244897959186
11070,1.04,0.13775510204081637
11071,1.02,0.07653061224489795
11072,1,0.12244897959183673
11073,1.02,0.07397959183673468
11074,1.01,0.05867346938775507
11076,1,0.08418367346938775
11077,1.05,0.11224489795918369
11078,1.03,0.10714285714285715
11079,1.01,0.0561224489795918
11080,1.04,0.13010204081632656
11081,1.02,0.06632653061224487
11082,1.02,0.08673469387755102
11083,1.01,0.06632653061224487
11084,1.02,0.10204081632653061
11085,1.01,0.09438775510204081
11086,1.01,0.07142857142857141
11087,1.01,0.07908163265306122
11088,1.01,0.10969387755102042
11089,1,0.08673469387755102
11090,1,0.09438775510204081
11091,1.02,0.09438775510204081
11092,1.01,0.06632653061224487
11093,1,0.06632653061224487
11094,1.01,0.07142857142857141
11095,1.01,0.06632653061224487
11096,1.01,0.06632653061224487
11097,1,0.11224489795918366
11098,1.01,0.05612244897959186
11099,1.01,0.05867346938775507
11100,1.02,0.13010204081632656
11101,1.02,0.12244897959183676
11102,1.02,0.13265306122448978
11103,1.01,0.06887755102040814
11104,1.01,0.07908163265306122
11105,1,0.06632653061224487
11106,1.02,0.08673469387755102
11107,1.01,0.07397959183673468
11108,1.01,0.08928571428571429
11109,1.01,0.05102040816326532
11110,1,0.05867346938775507
11111,1,0.08163265306122448
11112,1.01,0.10459183673469388
11113,1,0.05867346938775507
11114,1,0.07397959183673468
11115,1.01,0.07397959183673468
11116,1,0.07397959183673468
11117,1,0.07397959183673468
11118,1,0.07142857142857141
11119,0.99,0.10714285714285712
11120,0.98,0.10204081632653059
11121,0.98,0.12244897959183673
11122,1.01,0.07908163265306122
11123,1,0.06632653061224487
11124,0.99,0.09693877551020405
11125,1,0.06632653061224487
11126,1,0.09948979591836735
11127,1.01,0.07653061224489795
11128,1,0.13775510204081634
11129,1.01,0.04846938775510205
11130,1.01,0.09948979591836735
11131,1.01,0.08418367346938775
11132,1,0.09693877551020408
11133,1.01,0.10204081632653061
11134,1.01,0.09183673469387756
11135,1.01,0.06122448979591834
11136,1.01,0.07397959183673468
11137,1.02,0.08928571428571429
11138,1.01,0.10714285714285715
11139,1.01,0.09438775510204081
11140,1.01,0.07653061224489795
11141,1.02,0.08418367346938775
11142,1,0.09948979591836735
11143,1.03,0.11479591836734696
11144,1.01,0.09693877551020408
11145,1.01,0.09948979591836735
11146,1.01,0.09438775510204081
11147,1.01,0.07397959183673468
11148,1,0.09438775510204081
11149,1.01,0.09693877551020408
11150,1,0.09948979591836732
11151,0.99,0.06887755102040814
11152,0.96,0.11479591836734693
11153,0.98,0.08928571428571426
11154,0.96,0.11989795918367346
11155,0.98,0.11989795918367346
11156,1,0.07142857142857141
11157,1.01,0.10459183673469388
11158,1.03,0.12244897959183676
11159,1.01,0.08418367346938775
11160,1.02,0.15561224489795916
11162,0.99,0.08928571428571426
11163,0.99,0.10969387755102039
11164,0.99,0.11224489795918366
11165,1,0.07397959183673468
11166,1,0.09948979591836732
11167,1,0.06632653061224487
11168,0.98,0.10459183673469385
11169,1,0.10969387755102042
11170,0.99,0.06632653061224487
11171,0.99,0.1173469387755102
11172,1,0.07653061224489795
11173,1.01,0.08928571428571429
11174,1.01,0.07908163265306122
11175,1.01,0.06122448979591834
11176,1.01,0.09438775510204081
11177,1,0.07397959183673468
11178,1,0.07397959183673468
11179,1.01,0.05357142857142859
11180,1.01,0.10714285714285715
11181,1.01,0.05867346938775507
11182,1.01,0.13520408163265307
11183,1.01,0.05102040816326532
11184,1.01,0.08673469387755102
11185,1.01,0.06122448979591834
11186,1.02,0.09693877551020408
11187,1.01,0.05867346938775507
11188,1,0.07142857142857141
11189,1,0.05867346938775507
11190,1.02,0.07653061224489795
11191,1.01,0.09183673469387756
11192,1.01,0.0561224489795918
11193,1.01,0.07397959183673468
11194,1.01,0.05357142857142859
11195,1.01,0.12244897959183673
11196,1.01,0.0637755102040816
11197,1.03,0.1275510204081633
11198,1.01,0.0637755102040816
11199,0.99,0.12244897959183673
11200,1.01,0.07142857142857141
11201,1.01,0.07142857142857141
11202,0.99,0.10204081632653059
11203,1,0.10714285714285712
11204,1,0.10714285714285715
11205,1.01,0.05867346938775507
11206,1,0.08418367346938775
11207,1.01,0.1479591836734694
11208,1,0.06632653061224487
11209,1.01,0.0637755102040816
11210,1,0.07908163265306122
11211,1,0.09438775510204081
11212,1.01,0.1607142857142857
11213,1,0.09438775510204081
11214,1.01,0.07908163265306122
11215,1.01,0.07397959183673468
11216,1,0.10459183673469385
11217,1.01,0.07397959183673468
11218,1,0.06887755102040814
11219,1,0.08163265306122448
11220,1,0.10714285714285715
11221,1.01,0.06632653061224487
11222,1.01,0.07908163265306122
11223,1.01,0.06887755102040814
11224,1.02,0.07142857142857141
11225,1.02,0.07908163265306122
11226,1.01,0.06632653061224487
11227,1.02,0.07653061224489795
11228,1.01,0.08418367346938775
11229,1.01,0.09948979591836735
11230,1.02,0.09438775510204081
11231,1.01,0.07142857142857141
11232,1.01,0.10204081632653061
11233,1,0.07397959183673468
11234,1.01,0.08418367346938775
11235,1.02,0.08673469387755102
11236,1,0.12755102040816327
11237,1.01,0.08163265306122448
11238,1.01,0.08163265306122448
11239,1.01,0.09183673469387756
11240,1.01,0.09183673469387756
11241,1.01,0.08418367346938775
11242,1,0.10969387755102042
11243,1,0.07397959183673468
11244,1.01,0.1326530612244898
11245,1.01,0.06122448979591834
11246,1.01,0.10459183673469388
11247,1.01,0.0637755102040816
11248,1.01,0.10204081632653061
11249,1.01,0.06122448979591834
11250,1,0.09438775510204078
11251,0.99,0.125
11252,1,0.05612244897959186
11253,1.01,0.08673469387755102
11254,1,0.08163265306122446
11255,0.99,0.08928571428571429
11256,1.02,0.13010204081632654
11257,1.01,0.05612244897959186
11258,1,0.09948979591836735
11259,1,0.05867346938775507
11260,1,0.06122448979591834
11261,0.98,0.12755102040816327
11262,1,0.061224489795918394
11263,1,0.06887755102040814
11264,1,0.06632653061224487
11265,1.01,0.07142857142857141
11266,1,0.06122448979591834
11267,1,0.07908163265306122
11268,1,0.09183673469387756
11269,1,0.08673469387755102
11270,0.99,0.08673469387755102
11271,1,0.04846938775510205
11272,1,0.06887755102040814
11273,0.99,0.08163265306122448
11274,0.99,0.08928571428571429
11275,1,0.058673469387755126
11276,0.99,0.08163265306122448
11277,0.99,0.08418367346938775
11278,1,0.08673469387755102
11279,0.99,0.08418367346938775
11280,0.99,0.08418367346938775
11281,1,0.061224489795918394
11282,1.02,0.14285714285714285
11283,1,0.06632653061224487
11284,0.99,0.08163265306122448
11285,1,0.08163265306122448
11286,1,0.07908163265306122
11287,1,0.09438775510204081
11288,1,0.05612244897959186
11289,1,0.06632653061224487
11290,1,0.0637755102040816
11291,1,0.0637755102040816
11292,1,0.0637755102040816
11293,1.01,0.06632653061224487
11294,1,0.07397959183673468
11295,1.01,0.06632653061224487
11296,1,0.06887755102040814
11297,1,0.05357142857142859
11298,1,0.07653061224489795
11299,1,0.0637755102040816
11300,1,0.06122448979591834
11301,1,0.07142857142857141
11302,1,0.06632653061224487
11303,1.01,0.06632653061224487
11304,1.01,0.07142857142857141
11305,1.01,0.07142857142857141
11306,1.02,0.07397959183673468
11307,1,0.06632653061224487
11308,1,0.06122448979591834
11309,1.01,0.06632653061224487
11310,1,0.07397959183673468
11311,1.01,0.07142857142857141
11312,1.01,0.04846938775510205
11313,1.02,0.07908163265306122
11314,1.02,0.06632653061224487
11315,1.02,0.07142857142857141
11316,1.02,0.07142857142857141
11317,1.02,0.07397959183673468
11318,1.01,0.0561224489795918
11319,1.03,0.06632653061224487
11320,0.97,0.09948979591836732
11321,0.97,0.08418367346938772
11322,0.96,0.07142857142857144
11323,0.96,0.07653061224489797
11325,0.97,0.07397959183673473
11326,0.97,0.0688775510204082
11327,0.98,0.07653061224489795
11328,0.97,0.0688775510204082
11329,0.96,0.08418367346938772
11330,0.97,0.07653061224489797
11331,0.96,0.07397959183673473
11332,0.97,0.06632653061224493
11333,0.95,0.07908163265306124
11334,0.96,0.08163265306122446
11335,0.97,0.07142857142857147
11336,0.97,0.08673469387755099
11337,0.96,0.08163265306122446
11338,0.97,0.08163265306122446
11339,0.96,0.08673469387755099
11340,0.95,0.08928571428571426
11341,0.97,0.08418367346938778
11343,0.96,0.0739795918367347
11344,0.94,0.11224489795918366
11345,0.96,0.07142857142857147
11346,0.94,0.09438775510204078
11347,0.97,0.09693877551020405
11348,0.96,0.09693877551020405
11349,0.97,0.07653061224489797
11350,0.97,0.09693877551020405
11351,0.97,0.08163265306122446
11352,0.96,0.08673469387755099
11353,1,0.0637755102040816
11354,1.01,0.0637755102040816
11355,1,0.06632653061224487
11356,1.01,0.06632653061224487
11357,0.99,0.06632653061224487
11358,0.99,0.07908163265306122
11359,1,0.07142857142857141
11360,1.01,0.07653061224489795
11361,1.01,0.0637755102040816
11362,0.99,0.07142857142857147
11363,0.98,0.07397959183673473
11364,0.98,0.05612244897959186
11365,0.99,0.08418367346938775
11366,0.99,0.07142857142857141
11367,0.98,0.07142857142857141
11368,0.98,0.07142857142857141
11369,0.99,0.08163265306122448
11370,0.98,0.0688775510204082
11371,0.99,0.10204081632653059
11372,0.98,0.08673469387755102
11373,0.99,0.07142857142857141
11374,1,0.07653061224489795
11375,0.97,0.061224489795918394
11376,0.98,0.07142857142857147
11377,0.97,0.07142857142857147
11378,0.98,0.07397959183673468
11379,0.98,0.07653061224489795
11380,0.97,0.0688775510204082
11381,0.98,0.07397959183673473
11382,0.98,0.08673469387755102
11383,0.99,0.08418367346938775
11384,1,0.08673469387755102
11385,0.97,0.1403061224489796
11386,0.98,0.08163265306122448
11387,0.97,0.1479591836734694
11388,0.97,0.07142857142857147
11389,0.97,0.10204081632653059
11390,0.98,0.07653061224489795
11391,0.99,0.07653061224489795
11392,0.98,0.07142857142857141
11393,0.98,0.06632653061224493
11394,0.98,0.0688775510204082
11395,0.98,0.07908163265306122
11396,1,0.07908163265306122
11397,0.99,0.06377551020408166
11398,1.02,0.08418367346938775
11399,1.01,0.09183673469387756
11400,1.02,0.08673469387755102
11401,1.02,0.08418367346938775
11402,1.02,0.08928571428571429
11403,1,0.07397959183673468
11404,0.99,0.10714285714285712
11405,1.01,0.08163265306122448
11406,1,0.07908163265306122
11407,1.01,0.07653061224489795
11408,1.02,0.07397959183673468
11409,1.01,0.08928571428571429
11410,1,0.07908163265306122
11411,1,0.06122448979591834
11412,1,0.07397959183673468
11413,1.01,0.09183673469387756
11414,1.01,0.08673469387755102
11415,1,0.15561224489795922
11416,1.02,0.10969387755102042
11417,1.02,0.12500000000000003
11418,0.99,0.11224489795918369
11419,1,0.11224489795918366
11420,0.97,0.15051020408163268
11421,0.97,0.10459183673469385
11422,0.96,0.13520408163265307
11423,0.96,0.10969387755102039
11424,0.99,0.08418367346938775
11425,1,0.08163265306122448
11426,1,0.08673469387755102
11427,1.01,0.08673469387755102
11428,1,0.07653061224489795
11429,1,0.09438775510204081
11430,1,0.08163265306122448
11431,1,0.10714285714285712
11432,1,0.07653061224489795
11433,1.02,0.07653061224489795
11434,1.01,0.09693877551020408
11435,1.02,0.07142857142857141
11436,1.03,0.08673469387755102
11437,1.03,0.08163265306122448
11438,1.02,0.08163265306122448
11440,1.02,0.06887755102040814
11441,1.02,0.08418367346938775
11442,1.03,0.09948979591836735
11443,1.02,0.08418367346938775
11444,1.03,0.08928571428571429
11445,1,0.08163265306122448
11446,1.02,0.06122448979591834
11447,1.01,0.06632653061224487
11448,1.01,0.06122448979591834
11449,1.01,0.07142857142857141
11450,1.01,0.08928571428571429
11451,1,0.06122448979591834
11452,1,0.07908163265306122
11453,0.99,0.07653061224489795
11454,1,0.0637755102040816
11455,1,0.07653061224489795
11456,1,0.04591836734693879
11457,1.01,0.07653061224489795
11458,1.01,0.0561224489795918
11459,1,0.058673469387755126
11460,1.01,0.08928571428571429
11461,1,0.07142857142857141
11462,1,0.07142857142857141
11463,1.01,0.05612244897959186
11464,1.01,0.06887755102040814
11465,1.01,0.07653061224489795
11466,1,0.08928571428571429
11467,1,0.07142857142857141
11468,1,0.06122448979591834
11469,1.01,0.07142857142857141
11470,1.02,0.09183673469387756
11471,1.01,0.05357142857142859
11472,1.01,0.06887755102040814
11473,1,0.06632653061224487
11474,1,0.0637755102040816
11475,1,0.08163265306122448
11476,1,0.06887755102040814
11477,1.01,0.07908163265306122
11478,1.02,0.08163265306122448
11479,1.01,0.06632653061224487
11480,1.02,0.06887755102040814
11481,1.01,0.07653061224489795
11482,1.01,0.06122448979591834
11483,1.01,0.07142857142857141
11484,1.02,0.06887755102040814
11485,1.01,0.07142857142857141
11486,1.01,0.07653061224489795
11487,1.01,0.08163265306122448
11488,1.01,0.06887755102040814
11489,1.01,0.06887755102040814
11490,1,0.07653061224489795
11491,1.01,0.06632653061224487
11492,1.02,0.0637755102040816
11493,1.01,0.07142857142857141
11494,1.01,0.07397959183673468
11495,1.01,0.07653061224489795
11496,1.01,0.06632653061224487
11497,1.01,0.07397959183673468
11498,1.02,0.09693877551020408
11499,1.03,0.11224489795918369
11500,1.01,0.06632653061224487
11501,1.02,0.07908163265306122
11502,1.01,0.08418367346938775
11503,1.01,0.11224489795918369
11504,1.01,0.07397959183673468
11505,1.01,0.0561224489795918
11506,1.01,0.05867346938775507
11507,1.01,0.06887755102040814
11508,1,0.08163265306122448
11509,1.01,0.06887755102040814
11510,1.01,0.05867346938775507
11511,1.02,0.07142857142857141
11512,1.01,0.06632653061224487
11513,1.01,0.06632653061224487
11514,1.01,0.08163265306122448
11515,1.02,0.07397959183673468
11516,1.02,0.07908163265306122
11517,1.01,0.07397959183673468
11518,1.01,0.0637755102040816
11519,1.02,0.06632653061224487
11520,1.01,0.06887755102040814
11521,1.01,0.07142857142857141
11522,1.01,0.06887755102040814
11523,1.02,0.06632653061224487
11524,1.01,0.06632653061224487
11525,1.01,0.06632653061224487
11526,1,0.0637755102040816
11527,1.01,0.11224489795918369
11528,0.99,0.11479591836734693
11529,1.01,0.08163265306122448
11530,1.02,0.10459183673469388
11531,1.01,0.08418367346938775
11532,1.01,0.08673469387755102
11533,1.01,0.09183673469387756
11534,1.01,0.14285714285714288
11535,1.01,0.08163265306122448
11536,1,0.10204081632653059
11537,1,0.07908163265306122
11538,1,0.08673469387755102
21001,1.01,0.07397959183673468
21002,1,0.08418367346938775
21003,1,0.07397959183673468
21004,1,0.07142857142857141
21005,1,0.07908163265306122
21006,1,0.08418367346938775
21007,1,0.07142857142857141
21008,1.01,0.08928571428571429
21009,1.01,0.0561224489795918
21010,1.01,0.058673469387755126
21011,1,0.06122448979591834
21012,1,0.05612244897959186
21013,1.01,0.06632653061224487
21014,1.01,0.06632653061224487
21015,1,0.06632653061224487
21016,1,0.12244897959183673
21017,1,0.06632653061224487
21018,1,0.08163265306122448
21019,1,0.07908163265306122
21020,1,0.07908163265306122
21021,1,0.08673469387755102
21022,1,0.08928571428571429
21023,1,0.07653061224489795
21024,1,0.08418367346938775
21025,1,0.08928571428571429
21026,1,0.0637755102040816
21027,0.96,0.11479591836734693
