SA2_code,y.kidney.male,sd.kidney.male,y.kidney.female,sd.kidney.female,y.kidney.persons,sd.kidney.persons
11001,1.04,0.18622448979591838,1.04,0.1530612244897959,1.18,0.2602040816326531
11002,1.01,0.08418367346938775,1.01,0.05867346938775507,1.04,0.09948979591836735
11003,0.98,0.21428571428571427,1,0.18112244897959182,1.07,0.23979591836734696
11004,0.99,0.09183673469387751,1,0.058673469387755126,0.99,0.08673469387755102
11005,1.11,0.2142857142857143,1.04,0.17091836734693877,1.15,0.25510204081632654
11006,1.03,0.11734693877551022,1.01,0.07397959183673468,1.06,0.11479591836734696
11007,1.03,0.11989795918367349,1.01,0.08163265306122448,1.05,0.14030612244897964
11008,1,0.1326530612244898,1,0.10204081632653061,0.97,0.16071428571428575
11009,0.99,0.1326530612244898,1,0.10204081632653059,0.98,0.1403061224489796
11010,0.98,0.12244897959183673,1,0.08928571428571429,0.96,0.1403061224489796
11011,0.99,0.08928571428571429,1,0.0637755102040816,0.98,0.10204081632653059
11012,1.01,0.15306122448979595,1.01,0.10204081632653061,1,0.14540816326530615
11013,1.03,0.13775510204081634,1.02,0.09948979591836735,1.06,0.17346938775510204
11014,1.07,0.22959183673469388,0.99,0.18112244897959184,1.17,0.2780612244897959
11015,1.01,0.11479591836734693,1.01,0.07653061224489795,1.04,0.11734693877551022
11016,1.01,0.14540816326530615,1.01,0.09948979591836735,1.03,0.14285714285714288
11017,1.03,0.22704081632653064,1.02,0.13775510204081634,1.08,0.19642857142857142
11018,0.99,0.22448979591836735,1.03,0.15816326530612243,1.12,0.18877551020408162
11019,1.04,0.22959183673469385,1.03,0.1607142857142857,1.21,0.2755102040816327
11020,1.05,0.15051020408163263,1.03,0.09693877551020408,1.15,0.1785714285714286
11021,1.02,0.20153061224489793,1.02,0.13520408163265307,1.13,0.20918367346938777
11022,1.03,0.13520408163265307,1.02,0.08928571428571429,1.09,0.1556122448979592
11023,1.06,0.24744897959183673,1.04,0.1607142857142857,1.2,0.2627551020408163
11024,1.04,0.13775510204081634,1.02,0.08418367346938775,1.1,0.12755102040816324
11025,1.08,0.25510204081632654,1.05,0.1530612244897959,1.29,0.29081632653061223
11026,1.1,0.23214285714285712,1.01,0.13520408163265307,1.23,0.22704081632653061
11027,1.06,0.1836734693877551,1.02,0.10459183673469388,1.15,0.20918367346938777
11028,0.9,0.1377551020408163,1.02,0.14285714285714288,0.93,0.15816326530612246
11029,0.89,0.14030612244897958,1.02,0.125,0.89,0.15051020408163265
11030,0.95,0.09438775510204078,1.01,0.07142857142857141,0.96,0.10459183673469385
