SA2_code,y.nh_lymph.male,sd.nh_lymph.male,y.nh_lymph.female,sd.nh_lymph.female,y.nh_lymph.persons,sd.nh_lymph.persons
11001,1.08,0.2346938775510204,1,0.06887755102040814,1.07,0.1913265306122449
11002,1.03,0.09183673469387756,1.01,0.028061224489795943,1.06,0.09948979591836735
11003,0.99,0.22704081632653061,1,0.07142857142857141,1.09,0.25
11004,0.99,0.08418367346938775,1,0.028061224489795943,1,0.09183673469387756
11005,1.01,0.23214285714285715,1.01,0.07397959183673468,1.11,0.2780612244897959
11006,1.03,0.11224489795918366,1.01,0.03571428571428575,1.07,0.12244897959183676
11007,1.08,0.12500000000000003,1.01,0.038265306122449015,1.13,0.14540816326530612
11008,1.01,0.16581632653061223,1,0.043367346938775524,0.98,0.1836734693877551
11009,1.02,0.1403061224489796,1,0.040816326530612256,0.96,0.14285714285714288
11010,1.02,0.13520408163265307,1,0.040816326530612256,0.99,0.12244897959183673
11011,1,0.08673469387755102,1,0.028061224489795943,1,0.09948979591836735
11012,1.02,0.14285714285714288,1,0.040816326530612256,0.97,0.1326530612244898
11013,1.09,0.14795918367346939,1.01,0.043367346938775524,1.17,0.18367346938775514
11014,0.99,0.2372448979591837,1.02,0.07397959183673468,1.06,0.2576530612244897
11015,1.03,0.10459183673469388,1.01,0.03571428571428575,1.07,0.13265306122448983
11016,1.04,0.14540816326530615,1.01,0.04591836734693879,1.08,0.1683673469387755
11017,1.19,0.28316326530612246,1.02,0.06632653061224487,1.45,0.38010204081632654
11018,1.1,0.2346938775510204,1.02,0.05867346938775507,1.28,0.23979591836734693
11019,1.21,0.25510204081632654,1.02,0.06632653061224487,1.3,0.33163265306122447
11020,1.11,0.15816326530612246,1.01,0.04591836734693879,1.17,0.18367346938775514
11021,1.12,0.20153061224489796,1.02,0.0561224489795918,1.28,0.2193877551020408
11022,1.08,0.14795918367346939,1.01,0.038265306122449015,1.15,0.16836734693877553
11023,1.19,0.2627551020408163,1.01,0.06632653061224487,1.22,0.2780612244897959
11024,1.1,0.15306122448979592,1.01,0.038265306122449015,1.22,0.16071428571428573
11025,1.09,0.19642857142857142,1.02,0.06122448979591834,1.24,0.24744897959183676
